Client ID,FL Round,Training Time,Communication Time,Total Client Time,CPU Usage (%),Task,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,Total Time of Training Round,Total Time of FL Round
Client 5 - A,7,136.38,233.73,370.11,47.5,taskA,,,,,,,,,,
Client 6 - A,7,164.89,205.23,370.12,38.3,taskA,,,,,,,,,,
Client 7 - A,7,175.66,194.44,370.1,40.65,taskA,,,,,,,,,,
Client 8 - A,7,123.83,246.28,370.11,51.75,taskA,,,,,,,,,,
Client 1 - B,7,229.15,324.26,553.41,55.75,taskB,,,,,,,,,,
Client 2 - B,7,306.24,247.18,553.4200000000001,37.8,taskB,,,,,,,,,,
Client 3 - B,7,258.05,295.37,553.4200000000001,39.9,taskB,,,,,,,,,,
Client 4 - B,7,295.76,257.63,553.39,53.3,taskB,0.05,0.3841,0.1238,0.1718,0.05,0.386,0.1226,0.1713,306.0,
Client 5 - B,7,302.16,251.22,553.38,34.0,taskB,,,,,,,,,,
Client 6 - B,7,232.28,321.1,553.38,47.3,taskB,,,,,,,,,,
Client 7 - B,7,233.26,320.11,553.37,51.6,taskB,,,,,,,,,,
Client 8 - B,7,298.01,255.42,553.43,40.65,taskB,,,,,,,,,,
Client 1 - A,8,169.82,222.85,392.66999999999996,37.95,taskA,,,,,,,,,,
Client 2 - A,8,162.66,230.01,392.66999999999996,37.3,taskA,,,,,,,,,,
Client 3 - A,8,161.36,231.31,392.67,41.75,taskA,,,,,,,,,,
Client 4 - A,8,159.24,233.43,392.67,49.1,taskA,,,,,,,,,,
Client 5 - A,8,137.23,255.44,392.66999999999996,49.9,taskA,,,,,,,,,,
Client 6 - A,8,149.63,243.05,392.68,43.8,taskA,,,,,,,,,,
Client 7 - A,8,176.51,216.17,392.67999999999995,34.95,taskA,1004.88,0.3882,0.2749,0.0,251.69,0.3808,0.2704,0.0,177.0,
Client 8 - A,8,121.87,270.8,392.67,52.65,taskA,,,,,,,,,,
Client 1 - B,8,223.2,332.66,555.86,53.1,taskB,,,,,,,,,,
Client 2 - B,8,330.26,225.67,555.93,37.6,taskB,,,,,,,,,,
Client 3 - B,8,280.93,274.97,555.9000000000001,40.55,taskB,,,,,,,,,,
Client 4 - B,8,314.49,241.43,555.9200000000001,36.3,taskB,,,,,,,,,,
Client 5 - B,8,319.22,236.72,555.94,37.85,taskB,,,,,,,,,,
Client 6 - B,8,254.15,301.79,555.94,42.3,taskB,0.05,0.3912,0.1231,0.1704,0.05,0.3924,0.1229,0.1707,330.0,
Client 7 - B,8,242.33,313.5,555.83,46.95,taskB,,,,,,,,,,
Client 8 - B,8,320.77,235.12,555.89,41.85,taskB,,,,,,,,,,
Client 1 - A,9,174.75,165.75,340.5,34.9,taskA,,,,,,,,,,
Client 2 - A,9,165.69,174.8,340.49,40.7,taskA,,,,,,,,,,
Client 3 - A,9,157.29,183.2,340.49,44.0,taskA,1004.26,0.3907,0.2798,0.0,251.72,0.3817,0.2733,0.0,179.0,
Client 4 - A,9,157.38,183.11,340.49,52.65,taskA,,,,,,,,,,
Client 5 - A,9,149.35,191.14,340.49,53.55,taskA,,,,,,,,,,
