Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,"AP List (client_selector,client_cluster,message_compressor,model_co-versioning_registry,multi-task_model_trainer,heterogeneous_data_handler)"
Client 1,6,88.81,0.0,0.0,17.07,,5,274,29,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 2,6,47.25,0.0,0.0,28.48,,5,200,28,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 3,6,47.44,0.0,0.0,41.26,,5,218,31,CNN 16k,IID,CIFAR-10,,,,,,,,,
Client 4,6,50.53,0.0,0.0,62.25,,5,141,59,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 5,6,97.46,0.0,0.0,18.12,131.72,5,299,30,CNN 16k,IID,CIFAR-10,0.83,0.7023,0.5588,1.0027,1.96,0.4769,0.4367,1.9064,"{OFF,OFF,ON,OFF,OFF,ON}"
Client 1,7,104.08,0.0,0.0,17.22,,5,269,28,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 2,7,57.69,0.0,0.0,32.45,,5,206,27,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 3,7,55.25,0.0,0.0,41.5,,5,216,32,CNN 16k,IID,CIFAR-10,,,,,,,,,
Client 4,7,71.87,0.0,0.0,53.7,,5,164,57,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 5,7,114.92,0.0,0.0,18.12,143.74,5,294,27,CNN 16k,IID,CIFAR-10,0.87,0.6969,0.6258,1.087,1.58,0.5279,0.5147,1.6375,"{OFF,OFF,ON,OFF,OFF,OFF}"
Client 1,8,109.03,0.0,0.0,16.84,,5,263,30,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 2,8,69.58,0.0,0.0,29.72,,5,210,28,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 3,8,64.21,0.0,0.0,77.6,,5,163,32,CNN 16k,IID,CIFAR-10,,,,,,,,,
Client 4,8,68.55,0.0,0.0,51.68,,5,171,59,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 5,8,117.61,0.0,0.0,15.06,147.1,5,280,29,CNN 16k,IID,CIFAR-10,0.86,0.6956,0.6202,1.0143,1.66,0.5194,0.4988,1.6832,"{ON,OFF,ON,OFF,OFF,OFF}"
Client 1,9,153.8,0.0,0.0,19.98,,5,258,26,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 2,9,97.14,0.0,0.0,44.14,,5,209,26,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 3,9,97.59,0.0,0.0,93.53,,5,183,39,CNN 16k,IID,CIFAR-10,,,,,,,,,
Client 4,9,87.2,0.0,0.0,85.53,,5,162,52,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 5,9,162.53,0.0,0.0,22.52,197.01,5,277,27,CNN 16k,IID,CIFAR-10,0.82,0.7113,0.6519,0.9929,1.53,0.5425,0.5219,1.6591,"{ON,OFF,ON,OFF,OFF,ON}"
Client 1,10,137.39,0.0,0.0,27.45,,5,269,30,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 2,10,94.36,0.0,0.0,27.5,,5,206,29,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 3,10,90.86,0.0,0.0,45.36,,5,216,31,CNN 16k,IID,CIFAR-10,,,,,,,,,
Client 4,10,92.86,0.0,0.0,49.84,,5,193,59,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 5,10,146.86,0.0,0.0,28.39,180.25,5,288,30,CNN 16k,IID,CIFAR-10,0.76,0.7344,0.6611,0.9434,1.6,0.5354,0.5214,1.6692,"{OFF,OFF,ON,OFF,OFF,ON}"
Client 1,11,170.05,0.0,0.0,22.16,,5,252,28,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 2,11,111.12,0.0,0.0,44.2,,5,202,28,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 3,11,115.21,0.0,0.0,81.05,,5,200,32,CNN 16k,IID,CIFAR-10,,,,,,,,,
Client 4,11,118.24,0.0,0.0,72.42,,5,175,56,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 5,11,179.25,0.0,0.0,23.11,214.28,5,269,28,CNN 16k,IID,CIFAR-10,0.86,0.6949,0.6378,1.0201,1.63,0.535,0.5092,1.6798,"{OFF,OFF,ON,OFF,OFF,ON}"
Client 1,12,183.21,0.0,0.0,26.44,,5,249,29,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 2,12,123.37,0.0,0.0,57.53,,5,213,31,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 3,12,112.36,0.0,0.0,63.0,,5,222,31,CNN 16k,IID,CIFAR-10,,,,,,,,,
Client 4,12,134.74,0.0,0.0,49.5,,5,213,57,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 5,12,187.69,0.0,0.0,30.91,225.45,5,261,30,CNN 16k,IID,CIFAR-10,0.79,0.7235,0.6675,1.0204,1.57,0.5529,0.5347,1.5896,"{ON,OFF,ON,OFF,OFF,ON}"
Client 1,13,198.76,0.0,0.0,33.01,,5,240,29,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 2,13,149.42,0.0,0.0,54.75,,5,209,30,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 3,13,141.18,0.0,0.0,111.99,,5,190,31,CNN 16k,IID,CIFAR-10,,,,,,,,,
Client 4,13,150.77,0.0,0.0,89.91,,5,180,55,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 5,13,206.92,0.0,0.0,35.55,261.68,5,254,28,CNN 16k,IID,CIFAR-10,0.65,0.7769,0.6983,0.8198,1.57,0.5473,0.5343,1.6071,"{OFF,OFF,ON,OFF,OFF,ON}"
Client 1,14,189.66,0.0,0.0,37.92,,5,239,29,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 2,14,142.94,0.0,0.0,58.45,,5,210,28,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 3,14,137.1,0.0,0.0,107.65,,5,186,31,CNN 16k,IID,CIFAR-10,,,,,,,,,
Client 4,14,148.15,0.0,0.0,66.43,,5,205,60,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 5,14,198.33,0.0,0.0,37.51,251.94,5,251,30,CNN 16k,IID,CIFAR-10,0.75,0.7366,0.6903,0.9103,1.52,0.5631,0.5445,1.5467,"{ON,OFF,OFF,OFF,OFF,OFF}"
Client 1,15,210.13,0.0,0.0,30.84,,5,236,28,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 2,15,159.11,0.0,0.0,57.52,,5,212,28,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 3,15,150.72,0.0,0.0,101.88,,5,196,32,CNN 16k,IID,CIFAR-10,,,,,,,,,
Client 4,15,163.23,0.0,0.0,108.12,,5,177,63,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 5,15,207.78,0.0,0.0,39.32,290.37,5,244,28,CNN 16k,IID,CIFAR-10,0.73,0.7427,0.672,0.8277,1.73,0.5305,0.5106,1.6616,"{ON,OFF,OFF,OFF,OFF,ON}"
Client 1,16,175.77,0.0,0.0,42.7,,5,221,29,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 2,16,161.86,0.0,0.0,51.03,,5,216,30,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 3,16,148.02,0.0,0.0,78.86,,5,202,31,CNN 16k,IID,CIFAR-10,,,,,,,,,
Client 4,16,152.53,0.0,0.0,106.79,,5,177,57,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 5,16,172.61,0.0,0.0,55.05,279.78,5,234,31,CNN 16k,IID,CIFAR-10,0.74,0.7372,0.6965,0.9254,1.55,0.5675,0.5479,1.5026,"{ON,OFF,OFF,OFF,OFF,OFF}"
Client 1,17,188.55,0.0,0.0,46.13,,5,225,29,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 2,17,161.54,0.0,0.0,60.06,,5,213,27,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 3,17,157.99,0.0,0.0,79.35,,5,211,32,CNN 16k,IID,CIFAR-10,,,,,,,,,
Client 4,17,155.92,0.0,0.0,109.62,,5,175,58,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 5,17,185.39,0.0,0.0,58.08,288.97,5,239,28,CNN 16k,IID,CIFAR-10,0.65,0.7724,0.7304,0.8313,1.54,0.5738,0.5565,1.5395,"{ON,OFF,OFF,OFF,OFF,ON}"
Client 1,18,217.02,0.0,0.0,50.59,,5,223,29,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 2,18,189.66,0.0,0.0,63.85,,5,211,29,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 3,18,196.45,0.0,0.0,95.14,,5,200,32,CNN 16k,IID,CIFAR-10,,,,,,,,,
Client 4,18,192.12,0.0,0.0,65.13,,5,209,56,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 5,18,214.03,0.0,0.0,58.27,299.39,5,232,30,CNN 16k,IID,CIFAR-10,0.74,0.7362,0.6992,0.9061,1.59,0.5598,0.5428,1.524,"{ON,OFF,ON,OFF,OFF,ON}"
Client 1,19,200.51,0.0,0.0,43.66,,5,217,28,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 2,19,191.26,0.0,0.0,44.94,,5,212,28,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 3,19,180.19,0.0,0.0,82.91,,5,205,33,CNN 16k,IID,CIFAR-10,,,,,,,,,
Client 4,19,197.95,0.0,0.0,72.79,,5,194,58,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 5,19,202.2,0.0,0.0,49.62,292.76,5,230,28,CNN 16k,IID,CIFAR-10,0.68,0.7642,0.6805,0.7959,1.74,0.5337,0.5083,1.6351,"{ON,OFF,OFF,OFF,OFF,ON}"
Client 1,20,213.64,0.0,0.0,64.01,,5,215,30,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 2,20,223.25,0.0,0.0,52.06,,5,215,30,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 3,20,215.15,0.0,0.0,88.01,,5,206,32,CNN 16k,IID,CIFAR-10,,,,,,,,,
Client 4,20,221.76,0.0,0.0,87.06,,5,190,54,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 5,20,213.81,0.0,0.0,74.24,328.54,5,228,30,CNN 16k,IID,CIFAR-10,0.71,0.75,0.7116,0.8412,1.57,0.561,0.5429,1.5326,"{ON,OFF,OFF,OFF,OFF,OFF}"
