Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,AP List
Client 3,10,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 1,10,2.94,0.0,0.00,0.89,3.83,3,19.85,56.05,CNN 16k,IID,CIFAR10,1.4702,0.0,0.0,0.0,2.2574,0.2108,0.1293,2.4717,client_registry|client_selector
Client 2,10,2.96,0.0,0.00,0.87,3.83,3,27.70,56.05,CNN 16k,Non-IID,CIFAR10,0.9123,0.0,0.0,0.0,2.2574,0.2108,0.1293,2.4717,client_registry|client_selector
Client 3,11,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 1,11,3.07,0.0,0.00,0.82,3.89,3,23.15,55.75,CNN 16k,IID,CIFAR10,1.4528,0.0,0.0,0.0,2.2750,0.2151,0.1354,2.4014,client_registry|client_selector
Client 2,11,3.09,0.0,0.00,0.80,3.89,3,27.65,55.75,CNN 16k,Non-IID,CIFAR10,0.9112,0.0,0.0,0.0,2.2750,0.2151,0.1354,2.4014,client_registry|client_selector
Client 3,12,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 1,12,2.96,0.0,0.00,0.80,3.76,3,11.40,55.90,CNN 16k,IID,CIFAR10,1.4520,0.0,0.0,0.0,2.2203,0.2276,0.1414,2.3987,client_registry|client_selector
Client 2,12,2.95,0.0,0.00,0.81,3.76,3,24.05,55.90,CNN 16k,Non-IID,CIFAR10,0.9089,0.0,0.0,0.0,2.2203,0.2276,0.1414,2.3987,client_registry|client_selector
Client 3,13,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 1,13,2.96,0.0,0.00,2.74,5.70,3,26.45,55.75,CNN 16k,IID,CIFAR10,1.4396,0.0,0.0,0.0,2.2019,0.2241,0.1350,2.4422,client_registry|client_selector
Client 2,13,2.99,0.0,0.00,2.71,5.70,3,22.35,55.75,CNN 16k,Non-IID,CIFAR10,0.9110,0.0,0.0,0.0,2.2019,0.2241,0.1350,2.4422,client_registry|client_selector
Client 3,14,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 1,14,2.97,0.0,0.00,0.83,3.80,3,18.25,55.75,CNN 16k,IID,CIFAR10,1.4402,0.0,0.0,0.0,2.2214,0.2304,0.1349,2.4684,client_registry|client_selector
