Client ID,FL Round,Training Time,Communication Time,Total Client Time,CPU Usage (%),Task,Train Loss,Train Accuracy,Train F1,Val Loss,Val Accuracy,Val F1,Total Time of Training Round,Total Time of FL Round
Client 3 - A,7,144,865.72,1009.72,44,taskA,1316.0,0.32,0.18,770.0,0.21,0.15,243.0,1009.0
Client 4 - A,7,243,766.55,1009.55,33,taskA,,,,,,,,1009.0
Client 5 - A,7,121,888.74,1009.74,46,taskA,,,,,,,,1009.0
Client 6 - A,7,219,790.36,1009.36,36,taskA,,,,,,,,1009.0
Client 7 - A,7,164,845.42,1009.42,42,taskA,,,,,,,,1009.0
Client 8 - A,7,235,773.98,1008.98,23,taskA,,,,,,,,1009.0
Client 1 - A,8,198,342.14,540.14,37,taskA,,,,,,,,541.0
Client 2 - A,8,139,401.87,540.87,44,taskA,,,,,,,,541.0
Client 3 - A,8,151,389.48,540.48,42,taskA,,,,,,,,541.0
Client 4 - A,8,228,312.43,540.4300000000001,34,taskA,1307.0,0.33,0.18,761.0,0.22,0.15,280.0,541.0
Client 5 - A,8,113,427.7,540.7,44,taskA,,,,,,,,541.0
Client 6 - A,8,215,325.62,540.62,36,taskA,,,,,,,,541.0
Client 7 - A,8,187,353.19,540.19,40,taskA,,,,,,,,541.0
Client 8 - A,8,280,260.54,540.54,28,taskA,,,,,,,,541.0
Client 1 - A,9,122,288.99,410.99,39,taskA,,,,,,,,411.0
Client 2 - A,9,90,320.83,410.83,47,taskA,,,,,,,,411.0
Client 3 - A,9,153,258.04,411.04,42,taskA,1245.0,0.34,0.22,733.0,0.25,0.19,180.0,411.0
Client 4 - A,9,180,231.17,411.16999999999996,28,taskA,,,,,,,,411.0
Client 5 - A,9,85,326.45,411.45,48,taskA,,,,,,,,411.0
Client 6 - A,9,161,250.27,411.27,35,taskA,,,,,,,,411.0
Client 7 - A,9,155,256.53,411.53,39,taskA,,,,,,,,411.0
Client 8 - A,9,156,255.09,411.09000000000003,36,taskA,,,,,,,,411.0
Client 1 - A,10,188,433.7,621.7,40,taskA,,,,,,,,621.0
Client 2 - A,10,131,490.03,621.03,51,taskA,,,,,,,,621.0
Client 3 - A,10,176,444.85,620.85,43,taskA,,,,,,,,621.0
Client 4 - A,10,248,372.88,620.88,52,taskA,,,,,,,,621.0
Client 5 - A,10,128,492.77,620.77,51,taskA,,,,,,,,621.0
Client 6 - A,10,229,392.29,621.29,37,taskA,,,,,,,,621.0
Client 7 - A,10,185,436.25,621.25,41,taskA,1277.0,0.33,0.19,746.0,0.22,0.17,248.0,621.0
Client 8 - A,10,229,392.0,621.0,25,taskA,,,,,,,,621.0
